Geo_NAME	Geo_QName	Geo_AREALAND	Geo_AREAWATR	Geo_SUMLEV	Geo_GEOCOMP	SE_T001_001
"ZCTA5 85536       "	"ZCTA5 85536, Arizona"	"374560671"	"951310"	"871"	"00"	408
"ZCTA5 85539       "	"ZCTA5 85539, Arizona"	"145319472"	"2328353"	"871"	"00"	4520
"ZCTA5 85540       "	"ZCTA5 85540, Arizona"	"259251328"	"7231848"	"871"	"00"	2874
"ZCTA5 85541       "	"ZCTA5 85541, Arizona"	"2027864097"	"954917"	"871"	"00"	21877
"ZCTA5 85542       "	"ZCTA5 85542, Arizona"	"567840964"	"21401528"	"871"	"00"	3196
"ZCTA5 85543       "	"ZCTA5 85543, Arizona"	"1545737372"	"2980950"	"871"	"00"	3822
"ZCTA5 85544       "	"ZCTA5 85544, Arizona"	"429463672"	"198698"	"871"	"00"	2949
"ZCTA5 85545       "	"ZCTA5 85545, Arizona"	"1011409921"	"47320553"	"871"	"00"	583
"ZCTA5 85546       "	"ZCTA5 85546, Arizona"	"1747141380"	"9519825"	"871"	"00"	19677
"ZCTA5 85550       "	"ZCTA5 85550, Arizona"	"1467392535"	"1456045"	"871"	"00"	4790
"ZCTA5 85551       "	"ZCTA5 85551, Arizona"	"138832165"	"116738"	"871"	"00"	405
"ZCTA5 85552       "	"ZCTA5 85552, Arizona"	"62024662"	"609393"	"871"	"00"	6218
"ZCTA5 85553       "	"ZCTA5 85553, Arizona"	"786536906"	"21425854"	"871"	"00"	1501
"ZCTA5 85554       "	"ZCTA5 85554, Arizona"	"1968466377"	"209370"	"871"	"00"	778
"ZCTA5 85601       "	"ZCTA5 85601, Arizona"	"311894192"	"377305"	"871"	"00"	698
"ZCTA5 85602       "	"ZCTA5 85602, Arizona"	"1937604654"	"753042"	"871"	"00"	9464
"ZCTA5 85603       "	"ZCTA5 85603, Arizona"	"583186389"	"2771736"	"871"	"00"	7155
"ZCTA5 85605       "	"ZCTA5 85605, Arizona"	"847157899"	"398197"	"871"	"00"	597
"ZCTA5 85606       "	"ZCTA5 85606, Arizona"	"331970794"	"39820717"	"871"	"00"	1184
"ZCTA5 85607       "	"ZCTA5 85607, Arizona"	"2162554145"	"3029256"	"871"	"00"	18925
"ZCTA5 85608       "	"ZCTA5 85608, Arizona"	"4799984"	"129003"	"871"	"00"	2305
"ZCTA5 85609       "	"ZCTA5 85609, Arizona"	"337286884"	"133500"	"871"	"00"	392
"ZCTA5 85610       "	"ZCTA5 85610, Arizona"	"1153050386"	"385451"	"871"	"00"	1333
"ZCTA5 85611       "	"ZCTA5 85611, Arizona"	"797478543"	"673594"	"871"	"00"	965
"ZCTA5 85613       "	"ZCTA5 85613, Arizona"	"121484584"	"48271"	"871"	"00"	5601
"ZCTA5 85614       "	"ZCTA5 85614, Arizona"	"351337503"	"60281"	"871"	"00"	21895
"ZCTA5 85615       "	"ZCTA5 85615, Arizona"	"540015052"	"157087"	"871"	"00"	9413
"ZCTA5 85616       "	"ZCTA5 85616, Arizona"	"346613856"	"149414"	"871"	"00"	5566
"ZCTA5 85617       "	"ZCTA5 85617, Arizona"	"571345554"	"955475"	"871"	"00"	1277
"ZCTA5 85618       "	"ZCTA5 85618, Arizona"	"290959317"	"484409"	"871"	"00"	1725
"ZCTA5 85619       "	"ZCTA5 85619, Arizona"	"526048673"	"0"	"871"	"00"	50
"ZCTA5 85620       "	"ZCTA5 85620, Arizona"	"2765050"	"0"	"871"	"00"	897
"ZCTA5 85621       "	"ZCTA5 85621, Arizona"	"731039985"	"1351397"	"871"	"00"	23054
"ZCTA5 85622       "	"ZCTA5 85622, Arizona"	"126361631"	"0"	"871"	"00"	6325
"ZCTA5 85623       "	"ZCTA5 85623, Arizona"	"898168477"	"0"	"871"	"00"	4073
"ZCTA5 85624       "	"ZCTA5 85624, Arizona"	"1013820063"	"488852"	"871"	"00"	1426
"ZCTA5 85625       "	"ZCTA5 85625, Arizona"	"655181877"	"409614"	"871"	"00"	1983
"ZCTA5 85626       "	"ZCTA5 85626, Arizona"	"1907854"	"0"	"871"	"00"	1021
"ZCTA5 85627       "	"ZCTA5 85627, Arizona"	"44633767"	"39430"	"871"	"00"	968
"ZCTA5 85629       "	"ZCTA5 85629, Arizona"	"596770744"	"0"	"871"	"00"	23568
"ZCTA5 85630       "	"ZCTA5 85630, Arizona"	"473769825"	"255453"	"871"	"00"	2819
"ZCTA5 85631       "	"ZCTA5 85631, Arizona"	"302045541"	"1102492"	"871"	"00"	3630
"ZCTA5 85632       "	"ZCTA5 85632, Arizona"	"2161227526"	"1328131"	"871"	"00"	835
"ZCTA5 85633       "	"ZCTA5 85633, Arizona"	"779762941"	"290680"	"871"	"00"	54
"ZCTA5 85634       "	"ZCTA5 85634, Arizona"	"7443351665"	"98312"	"871"	"00"	6490
"ZCTA5 85635       "	"ZCTA5 85635, Arizona"	"184897662"	"517900"	"871"	"00"	34727
"ZCTA5 85637       "	"ZCTA5 85637, Arizona"	"312513411"	"61380"	"871"	"00"	1268
"ZCTA5 85638       "	"ZCTA5 85638, Arizona"	"838889403"	"216354"	"871"	"00"	1973
"ZCTA5 85640       "	"ZCTA5 85640, Arizona"	"19112424"	"5455"	"871"	"00"	441
"ZCTA5 85641       "	"ZCTA5 85641, Arizona"	"1200228274"	"0"	"871"	"00"	21753
"ZCTA5 85643       "	"ZCTA5 85643, Arizona"	"5303878231"	"85237580"	"871"	"00"	9810
"ZCTA5 85645       "	"ZCTA5 85645, Arizona"	"525685763"	"127618"	"871"	"00"	2231
